time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011869,-1.3271,-0.1082,-0.5359,1.435
0.032631,0.0209,0.0698,-0.7197,0.723
0.053219,0.9549,0.3830,-0.9091,1.373
0.072788,2.0073,0.7666,-0.0788,2.150
0.092843,2.4583,0.6445,-0.3154,2.561
0.112853,0.3154,-0.9629,-0.6113,1.183
0.132745,-0.6054,-2.2044,-3.0254,3.792
0.153364,0.4344,-2.3169,-1.2282,2.658
0.173088,1.9779,-1.8051,4.1651,4.952
0.195086,3.2427,-2.9758,3.9739,5.930
0.212707,4.4303,-3.1432,1.7088,5.694
0.233706,2.8711,-2.9276,2.3658,4.734
0.253474,-2.9173,-4.8817,2.7425,6.314
0.273455,-6.3396,-6.0350,-1.1395,8.827
0.293710,-3.8924,-3.9105,-3.2707,6.414
0.314233,-1.0703,-2.0206,-1.6006,2.791
0.334584,-2.5107,-1.7287,-0.7842,3.148
0.353924,-1.6178,3.3592,0.9158,3.839
0.374202,0.4386,1.4807,5.8554,6.056
0.394857,1.4593,2.4335,5.2284,5.949
0.415118,0.3985,3.5400,2.1675,4.170
0.435005,-2.0985,1.4476,-1.1962,2.816
0.454497,-1.4631,1.8918,-2.8096,3.690
0.475345,3.7691,4.5749,4.4924,7.438
0.495617,3.7048,2.4163,-2.3133,4.992
0.515738,1.0420,1.0634,-4.8390,5.063
0.535816,0.4328,0.6640,-6.0580,6.110
0.557024,2.0977,0.7759,-6.3804,6.761
0.575951,4.1764,2.1490,-2.0521,5.126
0.595487,3.0170,2.0516,0.4266,3.673
0.616038,1.8520,1.8640,0.1877,2.634
0.635992,0.2434,0.6173,0.4665,0.811
0.655910,0.1489,0.7907,9.2312,9.266
0.676055,-0.4366,0.2891,6.0764,6.099
0.697678,-1.0452,-0.7459,1.6755,2.111
0.715779,-1.0605,-1.1045,3.2275,3.572
0.737958,-2.0025,-2.6176,4.5205,5.594
0.756704,-4.1594,-5.5186,0.9098,6.970
0.778487,-2.5234,-6.9513,-0.8659,7.446
0.796821,-0.5676,-7.2302,-4.5481,8.561
0.818001,-0.1379,-5.5123,-9.8564,11.294
0.837370,-1.0957,-2.8037,-11.5492,11.935
0.858558,7.2715,2.9293,5.7751,9.737
0.878899,8.2699,5.0372,5.2716,11.025
0.898576,4.0873,2.3155,-2.9196,5.531
0.917360,2.3303,3.7128,-0.6090,4.426
0.939138,0.2741,5.0012,1.2839,5.171
0.958725,-0.1522,3.3005,-3.6474,4.921
0.979203,-0.5203,2.5245,-1.6370,3.053
0.999176,-0.9164,2.7332,-1.4490,3.226
1.019314,0.9044,2.6679,-1.5330,3.207
1.039285,1.6155,0.6994,-0.6327,1.871
1.058507,3.9451,0.2895,-0.5949,4.000
1.078529,0.4938,-0.3835,0.3295,0.707
1.099024,-4.7516,-2.5957,1.0538,5.516
1.118885,-2.3699,-0.9280,-1.4786,2.943
1.139287,-0.0849,0.8939,-0.9343,1.296
1.158358,0.3865,2.0321,-0.3338,2.095
1.178826,0.1196,2.3675,0.2664,2.385
1.198807,1.5381,3.1075,1.3945,3.737
1.218501,0.6494,1.6073,1.7287,2.448
1.239131,-0.3641,0.8019,2.1039,2.281
1.258974,-3.7958,-2.5084,1.1234,4.686
1.278763,-1.7925,-1.0965,5.8002,6.169
1.298862,1.1944,-1.9610,0.6975,2.400
1.318606,-4.5953,-5.1686,-0.2576,6.921
1.339649,-5.9107,-4.4502,-2.0930,7.689
1.358787,-5.1875,-1.6152,-2.5073,5.984
1.378858,-2.6841,-2.4538,-0.0194,3.637
1.398726,-3.3677,-6.7732,-0.9252,7.621
1.419254,-1.5707,-8.8959,-2.0663,9.267
1.440951,2.7893,-4.6416,-1.5734,5.639
1.459322,3.7291,1.5925,-3.4598,5.330
1.515898,-0.8624,-2.0676,0.3048,2.261
1.516079,-1.7000,-3.5184,2.2168,4.493
1.519622,0.4775,-1.0807,-0.8873,1.478
1.539281,2.0586,1.5179,-2.0754,3.294
1.560699,3.5310,3.1904,-2.5389,5.394
1.579418,4.7145,5.7874,-3.7368,8.348
1.601210,4.2624,8.1250,-4.0621,10.034
1.619579,2.2204,6.3340,-4.0853,7.857
1.641204,1.7789,4.3240,-3.9237,6.104
1.659557,2.4510,4.7641,-3.1685,6.224
1.681264,3.1603,4.9662,-1.6633,6.117
1.702394,3.6886,4.3136,-2.2174,6.093
1.721636,3.0079,1.3538,-1.8696,3.791
1.742273,0.0515,-1.5429,1.0892,1.889
1.763621,-3.3760,-1.2368,4.0843,5.441
1.782220,-6.7230,-1.6247,3.4599,7.734
1.801802,-8.7071,-7.1844,3.0522,11.694
1.822533,-5.9082,-6.3913,3.4717,9.371
1.842128,-1.7375,0.0460,2.0738,2.706
1.862000,2.5272,1.2372,2.3085,3.640
1.882294,4.0166,-2.3841,-0.2899,4.680
1.902289,5.6516,-2.3747,-4.6901,7.719
1.921653,7.9014,0.7604,-1.8689,8.155
1.942944,4.1639,0.4352,2.1151,4.691
1.962427,0.6113,1.2653,-4.0984,4.333
1.982519,2.8521,3.0301,-7.6793,8.734
2.005143,2.6509,2.7421,-7.7640,8.650
2.023733,-0.2639,-0.3142,-8.5165,8.526
2.042826,-3.0793,-3.0284,-5.7546,7.195
2.062217,-2.3573,-1.1238,-3.1147,4.065
2.083079,-2.6002,-6.9072,-2.4931,7.790
2.102539,-5.7486,-15.0612,-2.9830,16.395
2.123176,-1.1790,2.8578,2.3293,3.871
2.142713,2.7586,5.4661,6.0461,8.605
2.163725,3.2331,0.8860,3.1943,4.630
2.182579,3.4100,0.4474,1.9999,3.978
2.203582,2.4997,0.6400,1.8732,3.189
2.222842,0.5767,0.9388,-0.9642,1.464
2.244057,0.4983,1.0095,-1.1293,1.595
2.264151,0.6724,2.0294,1.1263,2.416
2.284742,-0.7209,0.8870,2.7391,2.968
2.304670,-2.4766,-1.1699,2.3322,3.597
2.324642,-2.4316,-1.9432,1.6733,3.534
2.343844,-3.5715,-3.8051,4.0001,6.575
2.365341,-5.8931,-4.5928,4.0690,8.508
2.384485,-3.9670,-4.3412,5.4599,8.025
2.405468,-3.5237,-5.1674,6.3099,8.884
2.434086,-5.7373,-4.3351,2.6930,7.679
2.445240,-7.3534,-2.9616,-2.9205,8.448
2.463827,-6.5800,-2.4454,-6.5505,9.601
2.485224,-0.3553,-6.7197,-2.7275,7.261
2.504212,5.1561,-8.7375,-3.0932,10.606
2.525472,5.3149,-6.8975,-1.0685,8.773
2.552225,4.8657,-5.1988,2.2340,7.463
2.565405,3.9548,-4.1938,0.6739,5.804
2.584641,2.0332,-1.8545,-8.0464,8.504
2.606013,-0.2042,1.0718,-7.9611,8.035
2.624828,-1.7603,3.8406,-2.2828,4.802
2.655039,-1.6954,5.3335,-5.3952,7.774
2.664911,0.1131,6.0568,-10.4818,12.106
2.685055,1.5494,7.9219,-8.5198,11.736
2.706443,2.6948,7.6447,-6.7486,10.547
2.728451,2.7861,6.5983,-6.4878,9.664
2.745873,2.1240,5.6460,-4.6789,7.634
2.767355,1.7590,3.5043,-2.9663,4.917
2.804065,1.9664,2.2807,-0.7582,3.105
2.806223,3.1471,2.3079,1.3688,4.136
2.826548,3.6036,1.1846,3.2318,4.983
2.848831,2.5697,-3.9073,8.3329,9.556
2.867054,-6.9792,-18.0758,13.8580,23.822
2.889498,-8.2747,-12.6252,5.6984,16.135
2.907227,2.9228,9.3482,3.8465,10.523
2.934275,9.9796,6.7232,1.6730,12.149
2.949007,9.1336,-10.5104,-8.3337,16.228
2.969018,-1.3405,-14.9711,-8.9889,17.514
2.988826,-2.8273,2.8152,-2.1723,4.543
3.009385,0.2834,4.7480,-2.8572,5.549
3.039592,0.0183,-0.5337,-5.7149,5.740
3.049208,-3.3893,-2.5968,-10.5947,11.423
3.069102,-4.3399,-3.3514,-8.2615,9.916
3.089488,-2.5559,-0.1106,-2.7940,3.788
3.109411,-1.6011,0.9821,-0.2479,1.895
3.137839,-0.1201,1.1859,0.4863,1.287
3.156176,4.1999,3.0766,-0.3809,5.220
3.174575,4.8462,3.1741,1.6434,6.022
3.191825,2.3583,1.5977,4.3387,5.190
3.223730,0.7896,0.9621,2.9094,3.164
3.270721,-0.5699,1.2367,0.4618,1.438
3.270967,-0.9834,1.5139,-0.4331,1.856
3.271076,-0.2178,0.9742,0.5681,1.149
3.289962,-1.0943,0.8105,2.2925,2.666
3.323805,-2.5527,1.2172,2.0854,3.514
3.370739,-4.2350,-0.6611,1.2641,4.469
3.370952,-3.5786,-1.7055,4.3387,5.877
3.371059,-3.6358,-1.6238,4.9651,6.365
3.390343,-6.1401,-2.7439,0.4947,6.743
3.410446,-4.9488,-5.2269,4.7178,8.606
3.430852,-3.4005,-4.8864,6.5460,8.848
3.450749,-3.9804,-3.0953,2.9528,5.843
3.474990,-4.8879,-3.4898,-1.0776,6.102
3.490688,-4.1602,-5.5318,-4.6482,8.337
3.510934,0.8005,-7.9150,-3.8078,8.820
3.531081,4.2465,-8.6075,-3.7651,10.310
3.551292,6.1220,-8.2609,-0.9869,10.329
3.580417,4.4037,-7.3057,2.5260,8.896
3.591571,2.6780,-4.4128,1.9027,5.501
3.611229,1.9609,-1.1237,-8.6855,8.975
3.631238,0.5772,1.3344,-9.5304,9.641
3.652065,0.0020,3.4667,-5.3136,6.344
3.676218,-0.4810,5.3393,-8.1505,9.756
3.715344,-0.4437,7.0106,-8.5285,11.049
3.715673,0.6582,8.0410,-7.5488,11.049
3.730181,2.4481,8.4368,-7.8130,11.757
3.751342,2.5066,7.9375,-6.0022,10.262
3.770903,1.6732,6.8394,-4.6743,8.451
3.790283,1.4577,5.9905,-2.4533,6.636
3.810919,1.7618,4.5720,1.1127,5.024
3.842018,2.7909,2.5026,2.5264,4.521
3.851005,3.4799,-2.5066,5.6391,7.085
3.871457,0.0204,-14.0929,12.2823,18.694
3.891440,-7.5746,-18.2555,9.1889,21.796
3.911148,-1.0813,0.8373,3.7790,4.019
3.941103,7.9466,11.3032,2.1964,13.991
3.951998,12.1602,-1.8742,-1.7416,12.426
3.971763,3.1868,-18.5788,-5.3717,19.601
3.991889,-8.8928,-12.9606,-5.0825,16.519
4.011719,-4.0508,6.4802,-5.4669,9.396
4.032097,3.2382,6.1353,-4.1968,8.108
4.062017,3.3737,2.9773,-4.0026,6.022
4.072256,-1.7171,-0.8145,-6.4390,6.714
4.092227,-4.5562,-2.9269,-7.6708,9.390
4.112227,-2.5558,-3.0061,-5.0846,6.436
4.131938,-0.9048,-0.4002,-0.3909,1.064
4.152633,1.6403,2.7715,1.1993,3.437
4.176013,3.8511,4.1432,1.9874,5.996
4.192333,2.9818,3.8139,2.5456,5.470
4.212669,1.4904,1.6411,2.7254,3.513
4.235996,-0.3980,-0.3113,2.2323,2.289
4.256500,-2.2819,-0.1237,0.3303,2.309
4.271341,-2.0781,2.0758,0.1405,2.941
4.290767,-0.3057,3.5404,0.0878,3.555
4.312303,-0.6002,2.6753,-0.2692,2.755
4.333259,-3.8836,-1.4212,0.9532,4.244
4.359435,-4.0410,-3.1449,3.5158,6.211
4.371828,-1.2429,-2.3357,8.0112,8.437
4.392319,-3.9421,-2.8671,3.7540,6.152
4.412920,-3.5241,-5.6097,1.6997,6.839
4.432342,-1.8327,-6.1732,6.3998,9.079
4.452556,-3.9261,-4.4570,5.8399,8.330
4.471917,-5.5947,-3.6536,0.8251,6.733
4.492111,-6.7961,-4.3532,-4.2837,9.137
4.512173,-3.0031,-7.2586,-4.1585,8.888
4.532105,3.4204,-8.2605,-3.8989,9.754
4.552280,5.4466,-6.4853,-2.9772,8.977
4.572496,5.2607,-4.2482,1.7592,6.987
4.592662,3.4217,-3.7384,2.3864,5.602
4.612427,1.0062,-2.0890,-5.7387,6.189
4.632585,-0.4690,0.5492,-7.2708,7.307
4.652689,0.2999,3.5825,-4.4048,5.686
4.672865,-0.2186,4.6348,-9.5282,10.598
4.692861,-0.3180,5.4080,-9.5749,11.001
4.713842,0.0351,6.8081,-6.7944,9.618
4.733217,1.0874,7.1886,-7.1294,10.183
4.753836,1.7535,6.7893,-6.0469,9.259
4.773688,1.6864,6.0717,-4.4602,7.720
4.793105,1.4280,5.2955,-3.1995,6.350
4.813454,1.3614,4.5778,-1.3458,4.962
4.833507,1.8960,3.8105,1.6279,4.557
4.853588,2.1961,1.7477,5.2390,5.943
4.873771,3.4383,-4.6621,9.4961,11.124
4.893963,-2.4638,-18.7299,11.5954,22.166
4.913977,-6.1565,-14.1936,3.7893,15.929
4.933957,4.0386,7.3762,3.0665,8.951
4.954067,11.7921,5.7231,2.4775,13.340
4.974375,9.9273,-10.4381,-7.0703,16.047
4.994320,-2.7766,-15.4460,-8.3746,17.788
5.014291,-6.7179,2.1692,-1.0004,7.130
5.034346,-3.3732,5.8079,-1.2632,6.834
5.054687,-0.0918,1.7541,-5.0410,5.338
5.074407,-1.7615,0.1061,-9.6916,9.851
5.094640,-3.4482,-1.2010,-8.2247,8.999
5.114819,-2.8374,-0.7163,-4.2472,5.158
5.134720,-1.0136,0.1077,-0.4952,1.133
5.155008,1.2567,0.8250,3.2219,3.555
5.175163,3.4250,2.6451,1.5923,4.611
5.195461,3.2219,3.4743,1.3489,4.927
5.215413,1.3868,1.7941,4.0718,4.661
5.235344,0.4032,1.1154,3.1572,3.373
5.255499,0.0884,1.7591,0.3138,1.789
5.275820,0.6881,3.5427,-2.3284,4.295
5.296148,0.3656,2.8153,-3.5293,4.529
5.316319,-1.1663,-0.6165,-1.6929,2.146
5.336740,-2.8510,-1.6573,4.4294,5.522
5.356846,-4.6210,-1.1156,7.7946,9.130
5.378073,-4.5284,-2.7129,5.2632,7.454
5.396527,-3.4059,-3.1430,2.4909,5.261
5.418328,-4.0785,-3.0671,2.2525,5.578
5.437061,-4.7642,-5.1726,4.5000,8.349
5.460290,-5.4114,-6.2065,5.0083,9.638
5.477655,-4.0783,-3.6860,2.9296,6.229
5.499175,-4.2483,-3.7361,-0.4630,5.676
5.519797,-2.5020,-7.0987,-3.6873,8.381
5.538983,2.2842,-8.0437,-5.3476,9.925
5.559209,5.0908,-6.9431,-4.0785,9.527
5.579948,5.7163,-5.0842,1.1604,7.738
5.599799,3.8956,-3.3824,4.3802,6.768
5.620044,2.2461,-2.3034,-2.2825,3.945
5.639874,-0.4581,-1.0364,-11.3814,11.438
5.660091,-0.6645,2.0760,-4.3533,4.869
5.679281,-0.7907,4.5573,-6.4703,7.954
5.701072,-1.2124,5.8286,-8.7826,10.610
5.720064,-0.8353,7.0956,-7.2749,10.197
5.740401,0.0288,7.4804,-7.0318,10.267
5.759184,0.9120,7.3975,-6.5371,9.914
5.780375,1.1899,6.8544,-5.2135,8.694
5.800873,0.8226,5.9084,-4.1919,7.291
5.819661,0.6403,4.7708,-1.6905,5.102
5.838955,1.2528,3.9426,2.0258,4.606
5.860108,2.0151,2.0030,4.4913,5.315
5.879075,4.5012,-4.2905,9.0631,10.991
5.899928,-0.4303,-17.8001,13.0413,22.070
5.920375,-5.4518,-13.8528,5.9511,16.032
5.939778,2.1035,6.7766,3.5286,7.925
5.959483,10.7431,3.4515,3.2802,11.751
5.980455,9.8562,-16.0533,-9.4768,21.087
6.001743,-1.5890,-10.1218,-10.5450,14.703
6.021345,-2.5321,9.5974,-4.3516,10.838
6.040502,-0.9341,5.3719,0.8745,5.522
6.060464,-5.5384,-2.9666,-4.7413,7.871
6.081940,-8.3081,-5.7378,-12.6637,16.196
6.100113,-6.4036,-4.8559,-5.7666,9.891
6.122323,-2.4913,0.1922,-0.0622,2.500
6.140406,1.7517,2.1781,0.1319,2.798
6.160933,5.0201,3.2898,1.7587,6.254
6.181498,6.8938,5.0114,0.3981,8.532
6.201465,3.3324,3.7354,0.3024,5.015
6.219855,-0.0048,0.5231,2.6520,2.703
6.242621,-0.6076,-0.8286,4.7557,4.865
6.259784,0.0115,0.7732,0.8578,1.155
6.282213,0.9577,2.7537,-2.3843,3.766
6.304118,-0.1450,2.3090,-2.0421,3.086
6.322687,-1.5566,1.2657,1.0112,2.247
6.340608,-3.3962,-0.4793,3.4914,4.894
6.362400,-5.0544,-1.5549,3.7051,6.457
6.383937,-4.1100,-2.5429,3.7932,6.144
6.402900,-2.0042,-2.4865,3.0215,4.396
6.423810,-3.6671,-3.2127,1.9784,5.261
6.443104,-3.2276,-6.6403,5.0072,8.921
6.462413,-3.5200,-5.6007,6.2205,9.080
6.481937,-4.8605,-3.6340,4.0163,7.277
6.502290,-6.5996,-3.9516,0.0901,7.693
6.522361,-5.1224,-5.3022,-2.2265,7.701
6.543071,1.1656,-7.4641,-2.8842,8.086
6.562857,6.3756,-8.0081,-5.3275,11.540
6.582342,7.8380,-5.1465,-1.7935,9.547
6.602789,7.2234,-2.2637,3.1489,8.199
6.622177,4.7618,-1.7100,2.2085,5.521
6.643167,0.8198,-0.7999,-8.5266,8.603
6.666112,-1.6481,1.1109,-5.9106,6.236
6.683400,-2.4049,2.8357,-2.3021,4.373
6.702598,-3.4418,2.8399,-9.1134,10.147
6.723428,-2.3344,3.6501,-9.2925,10.253
6.742856,-0.0873,5.9890,-6.8524,9.101
6.764098,1.2675,7.0805,-7.2596,10.220
6.783516,1.5630,7.3542,-5.6642,9.413
6.804727,1.1863,6.8059,-4.2564,8.114
6.824835,0.5243,5.6093,-3.4432,6.603
6.845387,0.7529,5.4906,-0.8268,5.603
6.867606,0.8133,4.8903,4.5626,6.737
6.884376,1.4616,1.8905,9.1770,9.483
6.903862,6.9062,-7.6721,7.9685,13.040
6.925782,1.1281,-23.6317,7.0910,24.698
6.944426,-2.3102,-8.5435,3.9348,9.686
6.965646,4.9091,12.2289,2.9164,13.496
6.985776,12.2829,1.5065,0.5673,12.388
7.008007,6.4075,-16.8473,-9.1735,20.225
7.025773,-4.2667,-8.6569,-9.1357,13.289
7.045755,-5.4994,6.3198,-2.0882,8.634
7.065436,-2.9862,6.1242,-0.5294,6.834
7.087552,-4.2778,0.5173,-6.0418,7.421
7.105678,-4.7401,-1.9059,-8.7174,10.104
7.127968,-4.5233,-2.9131,-6.5202,8.453
7.147576,-3.5126,-3.0170,-2.9189,5.474
7.168109,-1.2952,-0.6320,-0.1955,1.454
7.185963,1.2588,1.6629,2.8166,3.505
7.208550,4.5563,3.8464,0.8052,6.017
7.226246,4.0339,3.2424,3.5753,6.290
7.249015,2.0908,1.4863,5.0164,5.634
7.267532,1.4164,0.9506,1.7941,2.476
7.288405,0.4138,1.0516,0.7283,1.345
7.306190,-0.5479,2.3320,0.0673,2.396
7.328321,-0.7477,3.1810,-2.2123,3.946
7.347950,-1.4840,1.3332,-1.1136,2.285
7.369553,-2.6711,-0.8694,3.4636,4.459
7.389040,-4.6234,-2.2969,5.9305,7.863
7.408507,-3.6745,-3.1426,6.6023,8.183
7.427617,-3.0738,-2.5033,3.8510,5.527
7.451409,-3.2948,-5.3764,2.1667,6.668
7.466952,-3.1399,-7.1411,5.7867,9.713
7.490853,-5.0125,-4.7043,6.3380,9.350
7.508247,-6.0136,-4.0096,2.3703,7.606
7.529572,-5.9394,-5.1813,-3.5784,8.656
7.549177,-0.7458,-7.9333,-4.6631,9.232
7.573111,5.2175,-8.2855,-4.9007,10.949
7.589013,7.0422,-6.2726,-2.6203,9.788
7.610130,6.2013,-3.8956,2.4463,7.721
7.628812,2.9475,-2.3037,3.4817,5.110
7.649249,0.4307,-0.8599,-4.7264,4.823
7.668343,-1.4042,-0.1276,-9.9417,10.041
7.688319,-1.7730,1.8674,-4.8342,5.477
7.708319,-2.2774,3.6454,-7.0045,8.218
7.728406,-1.3566,5.3697,-9.3865,10.899
7.748991,0.1470,7.8225,-7.7749,11.030
7.769455,0.8553,7.9591,-6.9402,10.595
7.787878,0.4977,7.0781,-5.5968,9.037
7.809050,0.2288,5.7774,-4.6993,7.451
7.829195,0.2766,4.7000,-3.9087,6.119
7.848821,0.3192,4.1442,-1.4762,4.411
7.869675,0.9017,3.3252,1.7910,3.883
7.889679,2.7029,2.7882,4.5043,5.947
7.909630,6.4009,-1.3245,8.0976,10.407
7.931823,1.3988,-16.1713,12.0722,20.229
7.951365,-4.9020,-16.7583,5.8129,18.403
7.970528,4.3463,4.6696,3.6563,7.353
7.991074,11.4963,0.9820,4.8784,12.527
8.009927,6.6043,-16.6771,-7.8566,19.582
8.030760,-4.7918,-6.0331,-12.0436,14.297
8.049181,-1.0481,10.6180,-4.7353,11.673
8.069460,1.5639,5.9708,2.6454,6.715
8.091226,-4.6363,-2.9190,-3.1961,6.343
8.110928,-8.1472,-5.0262,-9.0423,13.168
8.131240,-5.9936,-2.9487,-7.7540,10.234
8.150535,-1.6995,0.8069,-5.0046,5.347
8.171401,3.4822,3.4182,-2.0726,5.301
8.192285,6.1463,3.6229,2.7681,7.653
8.212093,4.5559,3.7847,3.5835,6.922
8.231428,0.4671,2.7069,2.6251,3.800
8.252746,-1.8943,-0.2290,2.7692,3.363
8.273227,-1.9585,-1.0127,2.5684,3.385
8.290085,-0.9977,1.1877,0.4082,1.604
8.312374,-0.0410,3.0957,-0.0105,3.096
8.331336,-0.1165,2.0416,0.2734,2.063
8.351907,-0.5864,0.9244,0.5389,1.220
8.371285,-2.1666,0.1109,1.5772,2.682
8.391540,-3.6541,-2.1675,4.5240,6.206
8.413335,-2.4061,-3.4214,6.4698,7.704
8.432570,-3.7396,-3.5059,2.7108,5.799
8.453893,-4.0926,-5.6245,2.4701,7.381
8.474121,-2.3117,-6.3354,6.8044,9.580
8.491921,-3.9477,-4.5181,6.2728,8.680
8.513146,-5.0138,-3.3140,2.6285,6.560
8.533254,-3.9598,-4.4978,-2.8076,6.618
8.554142,-1.0555,-7.2686,-3.8443,8.290
8.572443,2.9563,-7.2563,-3.6849,8.659
8.594205,4.1079,-6.3123,-3.1629,8.168
8.613119,4.5379,-5.4035,0.3743,7.066
8.632995,2.1878,-3.1243,2.8912,4.786
8.651947,-0.4455,-1.2680,-4.5856,4.779
8.672268,-1.2911,0.1842,-9.2221,9.314
8.692227,-0.7259,2.5795,-4.1595,4.948
8.712896,-0.8081,4.2452,-7.3701,8.544
8.733701,-0.7533,5.7068,-9.8797,11.434
8.753187,-0.3058,7.5420,-7.0644,10.338
8.773696,0.3515,7.7454,-6.1893,9.921
8.791520,0.5905,6.6895,-5.5247,8.696
8.813619,0.1461,5.9274,-4.2875,7.317
8.834072,0.2974,4.7601,-2.8512,5.557
8.854267,0.7402,3.8708,-0.2433,3.948
8.874931,1.5234,3.1994,2.3155,4.233
8.893140,3.3077,0.8036,3.9356,5.203
8.913496,5.7305,-3.5645,7.3128,9.951
8.934194,1.5548,-15.3863,12.7539,20.045
8.954697,-4.5304,-14.9363,6.0641,16.745
8.974345,1.7608,8.6829,3.2502,9.437
8.994185,8.4531,10.1126,2.0639,13.341
9.014105,8.5999,-8.8888,-7.3610,14.393
9.035495,-2.6802,-19.0361,-7.8369,20.760
9.054356,-8.7454,-2.8062,-3.6913,9.899
9.073260,-3.5580,5.2535,-2.4030,6.785
9.092915,-0.2883,2.2179,-2.4082,3.287
9.114632,0.1862,0.7577,-3.7763,3.856
9.135112,0.1862,1.6734,-6.1530,6.379
9.154404,-0.0807,0.9420,-7.3758,7.436
9.172901,-1.3128,-0.2861,-2.8742,3.173
9.193918,-0.7645,-0.1206,2.4574,2.576
9.213193,1.3413,2.6166,2.6841,3.981
9.234316,1.9387,3.4126,3.4510,5.226
9.253429,1.0049,1.7618,4.5279,4.961
9.275465,0.5050,1.0947,2.2065,2.514
9.292778,0.3788,1.8438,-0.7248,2.017
9.312944,0.2124,2.4678,-3.0712,3.946
9.333294,0.0124,1.1679,-2.0117,2.326
9.352858,-0.8353,-0.1826,3.0071,3.126
9.373909,-2.8421,-1.5304,6.2963,7.076
9.393835,-3.8515,-2.3192,4.7394,6.533
9.414001,-1.5438,-3.1044,3.4089,4.862
9.433546,-1.6068,-2.4336,3.9354,4.898
9.453950,-5.0993,-4.9665,3.1320,7.777
9.474364,-3.3887,-6.4218,5.5759,9.155
9.494492,-1.4883,-5.0271,6.2908,8.189
9.514551,-3.3155,-4.2856,3.8907,6.671
9.534304,-4.4918,-3.6083,-0.7407,5.809
9.554424,-2.2598,-6.3914,-2.7037,7.298
9.574913,3.2067,-6.8836,-5.6492,9.465
9.594872,6.2710,-5.6978,-5.1182,9.899
9.615052,5.5227,-3.1763,1.7782,6.614
9.634662,1.8507,-2.3271,4.2814,5.213
9.654757,-0.2235,-1.9085,-2.4752,3.134
9.675546,-1.8111,-0.5218,-9.1022,9.295
9.695590,-2.6032,1.3038,-6.3866,7.019
9.715360,-2.7387,2.6259,-6.3902,7.432
9.734667,-2.1947,3.9987,-6.9679,8.328
9.754844,-1.5863,5.5655,-7.1421,9.192
9.775099,-0.6082,7.2744,-7.9279,10.777
9.795365,0.4237,7.9542,-5.8850,9.904
9.815320,0.8129,7.2416,-4.2295,8.426
9.835265,0.4897,6.2834,-3.8276,7.374
9.855561,0.0668,5.8090,-2.0621,6.165
9.875824,0.2663,4.7317,2.8399,5.525
9.896199,1.7350,0.0647,10.0633,10.212
9.916328,5.2078,-12.5157,15.5654,20.641
9.936756,1.1825,-18.4305,7.2450,19.839
9.956090,-0.1653,3.1111,2.8542,4.225
9.978884,4.7269,11.5240,2.3747,12.680
9.997891,10.1943,-6.0124,-2.9199,12.190
10.020419,4.3265,-25.3856,-5.0877,26.249
10.037142,-5.2741,-5.9829,-5.5250,9.702
10.058931,-3.5363,13.6494,-5.1001,14.994
10.077326,1.3716,5.7501,0.0241,5.912
10.100029,-3.0248,-2.2426,-4.5235,5.886
10.118242,-5.1302,-4.3757,-9.5367,11.680
10.139512,-3.4502,-3.3957,-7.5547,8.973
10.159603,-1.1711,-0.7405,-4.1425,4.368
10.179103,0.7988,1.0938,-0.2284,1.374
10.199166,2.4683,2.2293,2.6696,4.265
10.218929,4.3552,5.5272,4.0848,8.137
10.239772,2.8033,4.7127,3.7099,6.621
10.259748,0.6194,1.5258,1.9829,2.577
10.278763,-0.4525,0.1061,0.0412,0.467
10.299852,-0.0305,1.4411,-0.6402,1.577
10.319629,-0.0373,2.9691,-0.7477,3.062
10.340011,-1.2602,0.6669,-0.8450,1.657
10.359559,-2.5968,-1.0337,2.9565,4.068
10.379703,-4.8499,-0.8788,6.4286,8.101
10.398510,-4.5156,-2.5136,3.9348,6.496
10.418232,-1.3175,-2.1448,2.0690,3.258
10.438582,-2.7647,-2.9026,0.5924,4.052
10.459241,-3.9284,-5.5679,4.4141,8.119
10.478690,-2.7672,-5.6975,8.3940,10.516
10.499043,-3.6794,-3.9877,6.3838,8.378
10.518797,-4.7605,-2.2258,1.8006,5.555
10.538906,-6.8247,-2.9475,-2.2924,7.779
10.558983,-4.7814,-8.1395,-4.1202,10.300
10.579431,3.1538,-10.1568,-4.0955,11.396
10.598950,6.9043,-7.3186,-4.1176,10.871
10.619375,6.5877,-4.5011,-0.0597,7.979
10.639357,3.1529,-2.3845,4.7399,6.172
10.659392,0.6403,-0.8718,-1.9390,2.220
10.680848,-0.5351,0.6356,-9.4009,9.438
10.701148,-0.2022,2.0575,-4.6254,5.066
10.724177,-0.5734,3.7970,-6.0527,7.168
10.740687,-1.2793,5.1535,-9.3071,10.715
10.763011,-0.5953,6.5713,-6.7842,9.464
10.780732,0.3764,6.8736,-6.7536,9.644
10.802325,0.6271,6.7215,-6.2682,9.212
10.822506,0.7639,6.5411,-4.7544,8.122
10.841814,1.0084,5.7850,-3.8281,7.010
10.862116,0.8813,4.7586,-1.4663,5.057
10.883846,0.8570,4.4410,2.3574,5.100
10.904463,1.0861,3.0316,7.2638,7.946
10.922792,3.4422,-4.5398,12.0120,13.295
10.944799,2.0240,-20.9450,11.0686,23.776
10.963155,-2.5143,-13.6664,2.5194,14.122
10.982699,1.1711,11.3553,3.3900,11.908
