time,ax,ay,az,atotal
0.002212047576904297,0.04,-0.02,-0.03,0.05
0.062077999114990234,0.02,0.02,-0.01,0.03
0.06465387344360352,-0.01,0.01,-0.02,0.02
0.06665897369384766,0.01,-0.04,-0.05,0.06
0.07034492492675781,0.07,0.14,-0.07,0.17
0.07292795181274414,-0.04,0.11,-0.06,0.13
0.0756678581237793,-0.1,0.01,-0.06,0.11
0.07754898071289062,-0.01,-0.02,-0.04,0.04
0.09388494491577148,0.05,0.0,-0.06,0.07
0.0958859920501709,0.07,0.01,-0.07,0.09
0.09854006767272949,0.09,0.05,-0.07,0.12
0.15860509872436523,0.0,-0.03,-0.08,0.08
0.1612548828125,-0.05,-0.04,-0.1,0.11
0.16324520111083984,-0.04,0.02,-0.12,0.12
0.1669621467590332,-0.06,0.05,-0.15,0.16
0.16950607299804688,-0.06,0.07,-0.16,0.18
0.17310714721679688,-0.1,0.08,-0.12,0.17
0.17598390579223633,-0.13,0.09,-0.06,0.16
0.17973995208740234,-0.08,0.03,-0.03,0.09
0.18249893188476562,-0.04,-0.04,-0.06,0.08
0.1849989891052246,-0.04,-0.07,-0.09,0.12
0.24491405487060547,0.0,-0.04,-0.14,0.14
0.2479090690612793,0.05,-0.03,-0.17,0.17
0.24980401992797852,0.03,0.0,-0.17,0.17
0.2607600688934326,-0.05,0.04,-0.1,0.11
0.26265716552734375,-0.1,0.04,-0.04,0.11
0.2651400566101074,-0.04,-0.01,-0.05,0.06
0.2676670551300049,0.07,-0.06,-0.08,0.12
0.27142906188964844,0.14,-0.05,-0.11,0.18
0.2750229835510254,0.1,0.02,-0.1,0.14
0.2769460678100586,0.06,0.1,-0.06,0.13
0.3358612060546875,0.01,0.09,-0.08,0.12
0.3383769989013672,-0.05,0.08,-0.08,0.12
0.34002685546875,-0.03,0.08,-0.02,0.08
0.3418610095977783,0.07,0.01,-0.08,0.1
0.362943172454834,0.17,-0.06,-0.27,0.32
0.3649439811706543,0.03,-0.17,-0.15,0.22
0.3677082061767578,-0.2,0.01,0.02,0.2
0.37042713165283203,-0.2,0.08,0.09,0.23
0.3728508949279785,-0.06,0.03,0.01,0.06
0.3753061294555664,0.1,0.11,-0.07,0.16
0.43277597427368164,0.12,0.08,-0.06,0.15
0.4353508949279785,0.0,-0.02,-0.08,0.08
0.43732690811157227,-0.03,-0.02,-0.05,0.06
0.441403865814209,-0.02,-0.04,-0.09,0.1
0.44375085830688477,-0.04,-0.04,-0.1,0.11
0.44631505012512207,0.0,-0.03,-0.17,0.17
0.44908714294433594,0.26,-0.03,-0.23,0.34
0.4515039920806885,0.2,-0.02,-0.18,0.26
0.4541301727294922,-0.1,0.06,-0.05,0.12
0.4567451477050781,-0.14,0.07,0.05,0.16
0.5142431259155273,0.0,0.04,-0.01,0.04
0.5167379379272461,0.09,0.04,-0.1,0.14
0.5185351371765137,0.08,0.11,-0.05,0.14
0.5211129188537598,0.0,0.1,0.02,0.1
0.5246930122375488,-0.09,0.07,0.0,0.11
0.5265340805053711,0.0,0.07,-0.03,0.07
0.5292820930480957,0.09,0.02,-0.08,0.12
0.5318698883056641,0.09,-0.04,-0.08,0.12
0.5340020656585693,0.08,-0.03,-0.05,0.09
0.5368361473083496,0.09,-0.02,-0.05,0.1
0.5945959091186523,0.12,-0.02,-0.05,0.13
0.5970630645751953,0.15,-0.03,-0.04,0.15
0.5989131927490234,0.16,-0.03,-0.08,0.18
0.6096060276031494,0.13,0.02,-0.05,0.14
0.6115069389343262,0.07,0.01,-0.04,0.08
0.6143970489501953,0.04,0.03,-0.04,0.06
0.6169991493225098,0.02,0.04,-0.08,0.09
0.6196060180664062,0.01,0.02,-0.08,0.08
0.6222538948059082,-0.02,0.01,-0.1,0.1
0.6252589225769043,-0.03,0.01,-0.08,0.08
0.6820511817932129,-0.01,0.03,-0.09,0.09
0.6848080158233643,-0.04,0.0,-0.08,0.08
0.6867179870605469,-0.02,0.0,-0.04,0.04
0.6913161277770996,0.0,-0.01,-0.03,0.03
0.6936140060424805,0.0,0.0,-0.07,0.07
0.6958930492401123,-0.01,0.03,-0.07,0.07
0.6981930732727051,-0.03,0.05,-0.07,0.09
0.7007460594177246,-0.09,0.01,-0.11,0.14
0.7033560276031494,-0.13,0.04,-0.09,0.16
0.7079029083251953,-0.11,0.04,-0.08,0.14
0.7684378623962402,-0.11,0.01,-0.1,0.14
0.7711119651794434,-0.09,0.03,-0.07,0.11
0.7732949256896973,-0.06,0.02,-0.06,0.08
0.7754480838775635,-0.05,0.0,-0.08,0.09
0.7790451049804688,-0.01,-0.01,-0.06,0.06
0.782757043838501,0.01,0.0,-0.07,0.07
0.7864241600036621,0.03,0.01,-0.05,0.05
0.7890028953552246,-0.01,0.02,-0.07,0.07
0.7918040752410889,-0.03,0.04,-0.07,0.08
0.7935428619384766,-0.05,0.04,-0.09,0.11
0.8656790256500244,-0.1,0.03,-0.06,0.12
0.8676700592041016,-0.1,0.05,-0.07,0.13
0.86940598487854,-0.1,0.05,-0.05,0.12
0.8721761703491211,-0.13,0.07,-0.06,0.15
0.8749818801879883,-0.19,0.05,-0.02,0.19
0.8769359588623047,-0.2,0.06,-0.01,0.2
0.895806074142456,-0.16,0.05,-0.02,0.16
0.8976821899414062,-0.14,0.02,-0.02,0.14
0.9002971649169922,-0.13,0.01,-0.05,0.13
0.9030280113220215,-0.08,0.04,-0.06,0.1
0.9609529972076416,-0.04,0.08,-0.09,0.12
0.9635109901428223,-0.04,0.05,-0.05,0.08
0.9655020236968994,-0.05,-0.01,-0.01,0.05
0.9759500026702881,-0.02,0.01,0.0,0.02
0.9778649806976318,0.02,0.04,0.01,0.04
0.9806640148162842,0.07,0.02,0.04,0.08
0.9833340644836426,0.12,0.0,0.04,0.12
0.9858689308166504,0.19,-0.04,0.06,0.2
0.9886300563812256,0.25,-0.07,0.04,0.26
0.9915971755981445,0.31,-0.1,0.04,0.32
1.052049160003662,0.33,-0.06,0.07,0.34
1.0552070140838623,0.29,-0.02,0.14,0.32
1.0571379661560059,0.29,-0.03,0.21,0.35
1.0590009689331055,0.36,-0.06,0.26,0.44
1.0795400142669678,0.46,-0.06,0.25,0.52
1.0813441276550293,0.54,-0.09,0.16,0.57
1.0841779708862305,0.6,-0.17,0.09,0.63
1.0879020690917969,0.47,-0.14,0.03,0.49
1.091515064239502,0.25,-0.07,0.07,0.26
1.0934319496154785,-0.07,-0.01,-0.02,0.07
1.1519479751586914,-0.22,0.05,-0.12,0.25
1.1545791625976562,-0.1,0.05,-0.17,0.2
1.1564059257507324,-0.02,-0.01,-0.18,0.18
1.1584110260009766,0.09,-0.05,-0.2,0.22
1.1616930961608887,0.23,-0.1,-0.15,0.29
1.1654469966888428,0.23,-0.1,-0.03,0.25
1.1676931381225586,0.03,-0.06,0.11,0.12
1.1703619956970215,-0.11,-0.06,0.29,0.31
1.1728739738464355,-0.1,-0.03,0.28,0.29
1.175623893737793,-0.02,-0.03,0.34,0.34
1.2348270416259766,0.09,-0.15,0.38,0.41
1.237982988357544,0.23,-0.15,0.34,0.43
1.2400670051574707,0.39,-0.03,0.21,0.44
1.2422499656677246,0.57,0.05,0.17,0.59
1.2456269264221191,0.65,-0.01,0.13,0.66
1.2492141723632812,0.61,-0.04,0.07,0.61
1.2529010772705078,0.57,-0.04,0.08,0.57
1.2566871643066406,0.48,-0.06,0.12,0.49
1.2592220306396484,0.32,-0.03,0.16,0.35
1.2617530822753906,0.11,0.0,0.15,0.18
1.3229851722717285,-0.07,0.02,0.14,0.15
1.325927972793579,-0.23,0.0,0.09,0.24
1.3280420303344727,-0.3,0.01,0.09,0.31
1.331590175628662,-0.29,-0.09,0.17,0.34
1.3355112075805664,-0.3,-0.1,0.22,0.38
1.3393340110778809,-0.27,0.08,0.33,0.43
1.3421480655670166,-0.1,0.16,0.38,0.42
1.3440508842468262,0.09,0.05,0.02,0.1
1.3609609603881836,0.23,0.02,-0.14,0.27
1.3628780841827393,0.23,0.04,-0.07,0.24
1.4215660095214844,0.08,0.04,0.0,0.08
1.4241318702697754,-0.12,-0.04,0.12,0.17
1.4260950088500977,-0.19,-0.08,0.3,0.36
1.4287190437316895,-0.09,-0.04,0.39,0.4
1.4324531555175781,0.08,-0.11,0.37,0.39
1.4360849857330322,0.2,-0.11,0.28,0.36
1.4384210109710693,0.1,-0.19,0.3,0.36
1.441267967224121,-0.22,-0.22,0.37,0.48
1.4436841011047363,-0.61,-0.06,0.25,0.66
1.458754062652588,-0.75,0.16,-0.1,0.77
1.5171520709991455,-0.58,0.15,-0.69,0.91
1.5199220180511475,-0.31,0.17,-1.15,1.2
1.521946907043457,-0.19,0.3,-1.1,1.15
1.5240790843963623,-0.31,0.23,-0.75,0.84
1.5272679328918457,-0.47,0.2,-0.55,0.75
1.5309970378875732,-0.39,0.17,-0.45,0.61
1.5347299575805664,-0.1,0.15,-0.35,0.39
1.538444995880127,0.23,0.22,-0.35,0.47
1.541304111480713,0.28,0.13,-0.39,0.49
1.543795108795166,0.09,0.09,-0.29,0.31
1.6178560256958008,-0.18,0.14,-0.27,0.35
1.619955062866211,-0.23,0.09,-0.22,0.33
1.6219069957733154,-0.15,0.09,-0.09,0.19
1.624661922454834,0.0,0.09,-0.09,0.12
1.6271400451660156,0.28,0.1,-0.01,0.29
1.6298110485076904,0.51,-0.04,0.02,0.51
1.6334881782531738,0.77,-0.11,0.14,0.79
1.6362249851226807,1.1,0.0,0.18,1.11
1.6389641761779785,1.42,-0.09,-0.01,1.42
1.6417980194091797,1.44,-0.14,-0.24,1.46
1.7009930610656738,1.19,-0.1,-0.34,1.24
1.7036309242248535,1.08,-0.07,-0.16,1.09
1.705644130706787,0.97,0.03,-0.15,0.98
1.707611083984375,0.89,0.07,-0.25,0.92
1.7105660438537598,0.79,0.11,-0.21,0.82
1.714284896850586,0.45,0.26,-0.11,0.53
1.7179460525512695,-0.03,0.35,-0.06,0.35
1.7217741012573242,-0.44,0.35,-0.03,0.56
1.7246441841125488,-0.8,0.24,-0.03,0.83
1.727081060409546,-0.73,0.27,-0.1,0.78
1.8019371032714844,-0.34,0.21,0.03,0.4
1.8040719032287598,-0.04,0.16,-0.1,0.19
1.805985927581787,0.22,0.16,-0.25,0.36
1.8083581924438477,0.41,0.16,-0.04,0.44
1.8118960857391357,0.39,0.16,0.1,0.43
1.8145651817321777,0.32,0.21,0.19,0.42
1.8170781135559082,0.45,0.31,0.17,0.57
1.8207921981811523,0.79,0.27,0.23,0.86
1.8246819972991943,1.17,0.25,0.15,1.2
1.8265960216522217,1.48,0.32,0.07,1.51
1.8876559734344482,1.64,0.42,0.12,1.69
1.8911550045013428,1.6,0.5,0.09,1.67
1.8933110237121582,1.44,0.52,0.16,1.53
1.8968629837036133,1.53,0.41,0.36,1.62
1.9006149768829346,1.64,0.32,0.43,1.72
1.903182029724121,1.74,0.55,0.23,1.83
1.9059391021728516,1.8,0.59,0.07,1.89
1.9088830947875977,1.45,0.78,0.09,1.64
1.9106810092926025,1.22,1.05,0.09,1.61
1.9266669750213623,1.19,1.46,-0.02,1.88
1.9857091903686523,1.33,2.12,-0.09,2.5
1.988511085510254,1.59,2.49,0.0,2.95
1.9906978607177734,1.91,2.48,0.41,3.15
1.9929208755493164,2.22,2.65,0.72,3.53
2.0126490592956543,2.67,3.09,0.81,4.16
2.0146050453186035,3.32,3.54,1.55,5.09
2.0172860622406006,3.66,3.88,2.32,5.81
2.0198919773101807,3.79,4.17,2.36,6.1
2.022502899169922,4.36,5.24,2.33,7.2
2.024895191192627,4.78,6.03,3.01,8.26
2.0840370655059814,4.57,5.75,3.53,8.14
2.0867919921875,4.99,6.13,3.72,8.73
2.0887742042541504,5.94,6.78,3.18,9.55
2.090735912322998,6.77,6.11,1.68,9.27
2.093808174133301,8.16,4.88,0.97,9.55
2.0975141525268555,8.74,4.1,-1.32,9.74
2.1011881828308105,7.17,3.57,-4.28,9.08
2.104951858520508,4.38,3.68,-3.91,6.92
2.1083099842071533,1.42,4.06,-3.62,5.62
2.1102120876312256,-0.94,3.75,-3.46,5.18
2.1851890087127686,-2.47,3.37,-1.61,4.47
2.1872830390930176,-2.95,2.69,-1.11,4.14
2.189260959625244,-2.17,1.88,-0.77,2.97
2.1927170753479004,-1.2,1.89,-0.42,2.27
2.196453094482422,0.28,1.48,0.07,1.5
2.199007987976074,2.52,0.63,0.68,2.68
2.202744960784912,4.55,-0.58,2.34,5.14
2.2065491676330566,5.03,-1.74,1.18,5.45
2.208406925201416,5.81,-1.74,0.39,6.07
2.211242198944092,7.17,-1.2,1.57,7.43
2.2713799476623535,7.43,-1.42,1.62,7.73
2.2741150856018066,7.07,-2.11,1.19,7.47
2.276036024093628,6.58,-2.2,1.07,7.02
2.2789621353149414,5.77,-1.97,1.03,6.18
2.282633066177368,4.9,-1.74,1.04,5.3
2.28631591796875,4.45,-1.53,1.18,4.85
2.290285110473633,4.19,-1.43,1.31,4.61
2.2922279834747314,3.76,-1.38,1.37,4.23
2.2954599857330322,3.16,-1.43,1.34,3.71
2.2981250286102295,2.64,-1.02,1.41,3.16
2.3607091903686523,2.2,-0.97,1.27,2.71
2.3635401725769043,1.89,-0.81,1.17,2.36
2.3656911849975586,1.51,-0.47,1.08,1.91
2.3692140579223633,0.74,0.01,0.71,1.02
2.37188720703125,-0.09,1.13,0.37,1.19
2.374706983566284,-0.72,1.58,0.02,1.73
2.376589059829712,-0.85,1.59,0.03,1.8
2.3963851928710938,-0.93,1.99,-0.56,2.26
2.398322105407715,-1.11,2.45,-1.23,2.95
2.4020462036132812,-1.66,3.09,-1.53,3.82
2.462337017059326,-2.53,3.73,-1.42,4.72
2.4648830890655518,-3.28,4.29,-1.22,5.53
2.466820001602173,-3.8,4.09,-1.43,5.76
2.4778599739074707,-3.99,3.49,-1.75,5.58
2.4798121452331543,-3.93,2.96,-1.69,5.2
2.4824609756469727,-4.27,2.53,-2.03,5.36
2.48612117767334,-5.1,2.28,-1.98,5.92
2.4899070262908936,-6.91,1.53,-3.21,7.77
2.4918689727783203,-7.46,0.93,-2.77,8.01
2.494992971420288,-5.94,0.54,-1.21,6.08
2.5553860664367676,-5.1,-0.76,-2.64,5.79
2.558310031890869,-4.51,-2.0,-3.46,6.02
2.560249090194702,-3.68,-2.57,-2.44,5.1
2.5640640258789062,-3.09,-2.56,-1.66,4.34
2.5677599906921387,-3.07,-2.62,-2.08,4.54
2.5714669227600098,-3.88,-3.16,-2.8,5.73
2.5748140811920166,-5.18,-3.53,-2.85,6.88
2.57674503326416,-6.48,-3.31,-2.68,7.75
2.5944299697875977,-7.1,-2.67,-2.33,7.93
2.5963730812072754,-6.92,-1.33,-1.9,7.29
2.6553540229797363,-5.73,0.17,-0.11,5.73
2.6582720279693604,-5.08,0.86,-0.55,5.18
2.660217046737671,-0.33,6.3,5.22,8.18
2.66300106048584,6.8,13.52,16.01,22.03
2.6667189598083496,2.47,6.77,1.41,7.34
2.6704020500183105,-2.7,-0.49,-6.01,6.6
2.6746349334716797,-2.18,1.49,-3.86,4.67
2.6766109466552734,-2.87,4.18,-9.36,10.64
2.6793360710144043,-2.21,1.34,-6.6,7.08
2.683094024658203,-2.42,-2.64,-1.21,3.78
2.741755962371826,-6.2,-3.1,-1.57,7.1
2.7444159984588623,-10.63,-1.29,-2.13,10.91
2.7463879585266113,-12.25,1.0,-1.82,12.42
2.7500839233398438,-9.89,1.21,-0.71,9.98
2.7537760734558105,-5.69,1.18,1.35,5.96
2.757974147796631,-4.08,1.09,1.11,4.36
2.7599449157714844,-3.01,0.3,-1.03,3.19
2.763853073120117,-0.42,0.0,-2.44,2.47
2.7675461769104004,0.85,0.07,-3.12,3.23
2.7712249755859375,-0.06,0.41,-2.2,2.23
2.8320751190185547,-2.11,0.49,-0.85,2.32
2.8344240188598633,-3.85,0.91,0.16,3.95
2.8377950191497803,-4.2,1.03,0.51,4.35
2.841740131378174,-3.51,0.65,0.15,3.57
2.8436460494995117,-2.12,0.48,-0.41,2.21
2.8464531898498535,-0.3,0.47,-0.74,0.92
2.850105047225952,1.11,0.3,-0.87,1.44
2.853900909423828,1.66,0.08,-0.76,1.82
2.8577871322631836,1.24,0.04,-0.57,1.36
2.8596980571746826,0.34,-0.02,-0.46,0.57
2.920849084854126,-0.22,-0.14,-0.25,0.36
2.9234180450439453,-0.05,-0.14,-0.08,0.16
2.9254419803619385,0.44,-0.09,-0.14,0.47
2.928464889526367,0.8,-0.17,-0.31,0.87
2.932239055633545,1.11,-0.38,-0.18,1.18
2.935950994491577,1.26,-0.53,-0.17,1.37
2.939608097076416,1.47,-0.64,-0.05,1.6
2.942115068435669,1.66,-0.58,0.09,1.76
2.9439849853515625,1.67,-0.36,0.09,1.71
2.961050033569336,1.46,-0.15,0.18,1.47
3.0193839073181152,0.89,0.03,0.57,1.05
3.021949052810669,0.6,0.04,0.83,1.02
3.0239100456237793,0.86,0.07,0.63,1.06
3.0258641242980957,1.54,0.12,0.22,1.56
3.0460009574890137,2.14,0.19,-0.11,2.15
3.047922134399414,2.01,0.45,-0.17,2.06
3.0508010387420654,1.3,0.68,-0.01,1.46
3.0545411109924316,0.68,0.82,0.19,1.08
3.058474063873291,0.52,0.79,0.5,1.06
3.0603342056274414,0.66,1.04,0.64,1.38
3.1192100048065186,1.4,0.74,0.66,1.71
3.12197208404541,2.41,0.52,0.58,2.53
3.1238110065460205,3.15,0.52,0.35,3.21
3.125663995742798,3.45,0.81,0.23,3.55
3.1456871032714844,3.26,1.18,0.17,3.47
3.147754192352295,3.02,1.38,0.24,3.32
3.150754928588867,2.79,1.63,0.3,3.24
3.154621124267578,2.73,2.06,0.41,3.44
3.158137083053589,3.08,2.21,0.56,3.83
3.1601240634918213,3.42,2.69,0.99,4.46
3.2188360691070557,3.51,3.35,1.4,5.05
3.221571922302246,3.47,4.56,1.0,5.81
3.223468065261841,3.66,6.25,1.86,7.47
3.22544002532959,3.64,7.24,3.14,8.69
3.2452280521392822,2.89,8.52,3.65,9.7
3.2473039627075195,2.63,10.82,4.71,12.09
3.2510671615600586,5.19,12.53,5.65,14.69
3.2547860145568848,11.11,11.81,6.52,17.47
3.2581400871276855,15.9,10.27,1.89,19.02
3.2600741386413574,17.05,8.9,-4.07,19.65
3.3269410133361816,14.47,8.33,-5.78,17.66
3.3290438652038574,9.41,7.32,-8.47,14.62
3.3309731483459473,3.99,5.08,-11.56,13.24
3.3346481323242188,-0.19,5.63,-8.02,9.8
3.3384408950805664,-2.92,6.85,-5.01,8.97
3.341243028640747,-3.32,6.08,-3.56,7.78
3.343214988708496,-2.24,4.95,-1.75,5.7
3.3627490997314453,-1.74,4.25,-1.13,4.72
3.3646750450134277,-1.35,2.93,0.85,3.33
3.3685030937194824,0.31,1.12,2.87,3.09
3.4203639030456543,1.64,-1.37,1.69,2.72
3.4232711791992188,3.13,-3.01,-0.62,4.38
3.4252500534057617,5.12,-2.64,-0.17,5.76
3.42826509475708,6.36,-1.8,1.0,6.68
3.4319939613342285,6.64,-2.12,1.4,7.1
3.4356629848480225,6.46,-2.7,1.59,7.17
3.4393200874328613,6.07,-2.81,1.98,6.97
3.4419379234313965,5.7,-2.58,1.85,6.52
3.4438228607177734,5.49,-2.58,1.06,6.15
3.461276054382324,5.61,-2.9,0.45,6.33
3.5116469860076904,5.49,-3.16,0.21,6.33
3.514106035232544,4.66,-2.93,0.12,5.5
3.5160861015319824,3.77,-2.47,0.26,4.51
3.5187458992004395,3.08,-2.06,0.53,3.74
3.5216760635375977,2.33,-1.72,0.66,2.97
3.5247979164123535,1.5,-1.66,0.62,2.32
3.5267019271850586,0.64,-1.79,0.22,1.91
3.545238971710205,0.27,-1.73,-0.02,1.75
3.5471081733703613,0.23,-1.6,0.0,1.61
3.5497798919677734,-0.13,-1.6,-0.67,1.73
3.6015000343322754,-0.56,-1.44,-1.22,1.96
3.6041300296783447,-1.19,-0.6,-1.9,2.32
3.606029987335205,-1.68,0.5,-2.09,2.72
3.6080000400543213,-2.08,1.47,-2.0,3.23
3.610697031021118,-2.88,2.44,-2.64,4.6
3.6143879890441895,-3.62,3.06,-3.3,5.77
3.6180849075317383,-3.6,3.36,-3.22,5.88
3.6219820976257324,-3.6,4.0,-3.25,6.28
3.6245808601379395,-4.78,4.78,-4.0,7.85
3.6268858909606934,-6.08,5.02,-4.62,9.13
3.6921820640563965,-6.88,4.95,-3.99,9.36
3.694270133972168,-6.47,5.21,-3.6,9.05
3.696247100830078,-6.22,4.97,-3.88,8.85
3.6990251541137695,-9.1,3.81,-5.99,11.54
3.7027270793914795,-10.33,1.64,-3.25,10.95
3.7066290378570557,-10.29,-1.33,-2.02,10.57
3.708574056625366,-8.69,-4.45,-4.02,10.55
3.7116141319274902,-5.58,-5.12,-4.26,8.68
3.7152628898620605,-3.93,-3.92,-4.43,7.1
3.718931198120117,-4.45,-3.12,-4.82,7.26
3.7708401679992676,-5.79,-3.4,-4.36,8.0
3.7741379737854004,-7.2,-3.49,-3.51,8.73
3.7761070728302,-8.46,-2.82,-2.84,9.35
3.7788329124450684,-9.33,-1.95,-2.38,9.82
3.782578945159912,-9.44,-0.61,-2.37,9.75
3.7862448692321777,-2.36,7.18,8.12,11.09
3.7901370525360107,12.44,21.28,31.29,39.83
3.7920851707458496,9.82,10.48,13.56,19.75
3.7948460578918457,-1.36,-2.7,-11.56,11.94
3.7985880374908447,-3.08,-0.62,-4.24,5.27
3.8507981300354004,-6.76,8.31,0.74,10.73
3.8533480167388916,-8.13,6.61,-8.02,13.19
3.8553528785705566,-1.68,-2.23,-9.36,9.76
3.857419967651367,0.7,-4.67,-4.21,6.32
3.860131025314331,-7.83,-2.78,-2.72,8.74
3.863770008087158,-14.83,-1.51,-3.18,15.24
3.867539882659912,-14.77,0.63,-3.97,15.3
3.871213912963867,-12.27,2.3,-1.24,12.54
3.874685049057007,-8.69,1.56,1.77,9.0
3.876599073410034,-4.46,0.96,-1.07,4.68
3.927380084991455,0.31,-0.2,-4.91,4.92
3.9300708770751953,2.64,-0.13,-4.22,4.97
3.932061195373535,0.99,0.19,-2.57,2.76
3.935662031173706,-2.21,0.72,-0.82,2.46
3.9394350051879883,-5.12,1.31,0.28,5.29
3.941333055496216,-6.89,1.43,0.7,7.07
3.9447689056396484,-7.11,1.15,0.62,7.22
3.948462963104248,-5.75,0.59,0.33,5.78
3.9521970748901367,-2.78,0.52,-0.25,2.83
3.9557929039001465,0.73,0.42,-0.46,0.95
4.006863117218018,3.25,0.05,-0.59,3.3
4.008963108062744,3.97,-0.24,-0.88,4.07
4.0122971534729,3.24,-0.23,-0.88,3.36
4.014823913574219,1.88,-0.17,-0.56,1.96
4.017461061477661,0.66,-0.16,-0.01,0.67
4.021198987960815,-0.03,-0.12,0.2,0.23
4.02469801902771,-0.08,-0.03,0.28,0.29
4.026583194732666,0.41,0.04,0.31,0.51
4.045711994171143,1.15,0.0,0.27,1.18
4.047669887542725,1.61,0.03,0.34,1.64
4.098949909210205,1.47,0.17,0.43,1.54
4.101769924163818,1.2,0.2,0.56,1.33
4.1036858558654785,1.33,0.03,0.65,1.48
4.108025074005127,1.5,-0.04,0.65,1.63
4.109853029251099,1.59,0.11,0.52,1.67
4.112734079360962,1.65,0.25,0.4,1.71
4.115352153778076,1.52,0.34,0.35,1.59
4.119114875793457,1.26,0.49,0.3,1.38
4.122941970825195,1.09,0.59,0.33,1.28
4.125802040100098,1.21,0.52,0.31,1.35
4.176501989364624,1.79,0.31,0.13,1.82
4.179008960723877,2.71,0.38,0.03,2.73
4.181015968322754,3.64,0.9,0.2,3.75
4.184820175170898,4.16,1.54,0.76,4.5
4.188727855682373,4.21,1.58,1.18,4.64
4.191605091094971,4.16,1.73,1.26,4.67
4.193531036376953,4.08,2.49,1.4,4.98
4.209493160247803,3.82,3.05,1.38,5.07
4.211467027664185,3.89,3.59,1.66,5.54
4.214118957519531,4.1,4.16,2.47,6.34
4.264796018600464,4.46,4.61,3.46,7.28
4.267472982406616,4.75,5.37,4.38,8.4
4.2694079875946045,5.22,7.38,4.27,9.99
4.272201061248779,5.97,10.04,5.66,12.97
4.275084018707275,5.04,11.76,5.89,14.08
4.277040958404541,5.47,14.66,6.84,17.07
4.295346975326538,11.07,15.74,7.77,20.75
4.297336101531982,17.39,12.31,2.4,21.44
4.29997706413269,19.02,10.23,-4.51,22.06
4.3037309646606445,14.82,7.86,-9.15,19.1
4.354549884796143,8.43,6.69,-10.43,14.98
4.356703042984009,2.72,7.29,-7.9,11.08
4.358627080917358,-2.15,6.37,-5.79,8.87
4.362436056137085,-5.72,5.89,-5.67,9.97
4.36620306968689,-5.76,6.58,-2.4,9.06
4.369884967803955,-4.66,6.18,-0.56,7.76
4.372622013092041,-3.9,4.08,0.08,5.64
4.375275135040283,-1.0,1.46,2.74,3.26
4.377197027206421,1.33,-1.69,2.44,3.25
4.3937458992004395,2.52,-4.24,-0.14,4.93
4.442910194396973,5.14,-4.09,0.79,6.61
4.445873022079468,6.69,-3.26,1.81,7.65
4.447889089584351,7.16,-3.74,1.63,8.24
4.451606035232544,7.33,-4.65,1.9,8.88
4.455359935760498,6.91,-5.12,2.13,8.85
4.4581520557403564,6.34,-5.24,1.81,8.42
4.4600629806518555,5.99,-4.98,1.5,7.93
4.4792609214782715,5.64,-4.67,1.45,7.46
4.481183052062988,5.23,-4.66,1.59,7.18
4.483973026275635,4.67,-4.57,1.63,6.73
4.534975051879883,4.12,-4.37,1.65,6.22
4.537765026092529,3.59,-3.91,1.74,5.58
4.53970193862915,3.0,-3.44,1.59,4.83
4.541714191436768,2.38,-2.8,1.87,4.12
4.5452141761779785,1.31,-2.02,1.95,3.09
4.5478291511535645,-0.14,-1.45,1.2,1.88
4.551529884338379,-0.84,-0.24,1.22,1.5
4.555310010910034,-1.92,0.94,1.17,2.43
4.558068037033081,-3.7,1.9,0.75,4.22
4.559965133666992,-4.52,3.41,0.11,5.66
4.625175952911377,-3.62,5.08,-0.64,6.27
4.627264022827148,-2.67,6.75,-1.84,7.48
4.629252910614014,-3.14,7.54,-2.78,8.62
4.632920980453491,-4.03,7.57,-3.14,9.13
4.636631011962891,-4.19,6.66,-2.62,8.29
4.639394998550415,-4.32,5.24,-1.47,6.94
4.642297029495239,-5.76,4.61,-0.97,7.44
4.6442131996154785,-9.68,4.86,-2.66,11.15
4.66088604927063,-13.57,4.89,-4.19,15.02
4.6628570556640625,-13.73,2.29,-2.7,14.17
4.7112510204315186,-12.41,-0.63,-3.72,12.97
4.713989019393921,-9.57,-3.14,-3.58,10.68
4.715936183929443,-5.55,-4.95,-2.05,7.71
4.719612121582031,-2.62,-4.63,-4.46,6.94
4.723417043685913,-2.57,-3.49,-6.5,7.81
4.725326061248779,-5.34,-3.0,-6.73,9.09
4.728227138519287,-8.47,-2.79,-5.57,10.51
4.7319910526275635,-10.46,-2.5,-3.92,11.44
4.735728979110718,-11.15,-1.98,-2.7,11.64
4.738555908203125,-10.26,-0.12,-2.32,10.51
4.786876201629639,-3.68,6.42,6.07,9.57
4.7889440059661865,7.0,17.51,20.96,28.19
4.792419910430908,6.58,10.63,11.03,16.67
4.7952189445495605,-2.26,-0.42,-8.7,8.99
4.798960208892822,-2.56,1.4,-4.18,5.09
4.802588939666748,-2.53,7.61,-4.52,9.2
4.805293083190918,-2.12,3.21,-11.76,12.37
4.812084197998047,2.78,-3.33,-7.46,8.62
4.821924209594727,1.42,-4.31,-2.68,5.27
4.832367897033691,-7.23,-2.93,-2.35,8.14
4.888015985488892,-14.17,-0.84,-2.51,14.41
4.890761852264404,-15.62,1.57,-2.42,15.88
4.892691135406494,-12.16,1.34,-0.69,12.25
4.895416975021362,-8.55,1.26,2.28,8.93
4.8991289138793945,-7.4,1.38,0.76,7.56
4.901742935180664,-3.96,0.28,-2.56,4.72
